aaa	工
aht	牙
ahu	 
ahv	 
ahw	某些人
ahx	茈
ahy	邪说
aia	茳
aib	范
aic	东台
aid	落成
aie	菹
aif	东南
aig	薄
aih	菠
aii	东
aij	东盟
aik	藻
ail	薀
aim	东山
ain	荡
aio	荧光灯
aip	落实
aiq	鸫
air	蒎
ais	菏
ait	落
aiu	汞
aiv	菬
aiw	东风
aix	薄弱
aiy	茫
aja	萌芽
ajb	蕞
ajc	 
ajd	莫
aje	萌
ajf	昔
ajg	蓝天
ajh	划
aji	划清
ajj	菖
ajk	 
ajl	蔓
ajm	䖁
ajn	萌发
ajo	草料
ajp	草案
ajq	葛
ajr	募捐
ajs	草木
ajt	蓝
aju	茧
ajv	郾
ajw	划分
ajx	菎
ajy	划为
aka	勤劳
akb	葺
akc	区别对待
akd	叵
ake	鄞县
akf	革
akg	勤
akh	匮
aki	苦口婆心
akj	或是
akk	颧
akl	区别轻重缓急
akm	莴
akn	勤快
ako	鞭炮
akp	其中之一
akq	鞍钢
akr	鞭挞
aks	切中要害
akt	匮乏
aku	燕
akv	 
akw	革命
akx	 
aky	或许
ala	基因工程
alb	世界卫生组织
alc	世界观
ald	蔑
ale	菌肥
alf	苗
alg	世界形势
alh	世界上
ali	世界水平
alj	莗
alk	匣
all	苗圃
alm	范围内
aln	葸
alo	 
alp	莲
alq	萝
alr	世界的
als	世界杯
alt	菌
alu	英国首相
alv	匦
alw	世界人民
alx	世界经济
aly	世界市场
ama	黄花
amb	黄陂
amc	英勇
amd	英
ame	蓇
amf	苖
amg	茼
amh	匝
ami	黄河
amj	英里
amk	苘
aml	英国
amm	黄山
amn	共同发展
amo	 
amp	共同富裕
amq	苋
amr	共同推出
ams	英模
amt	共同利益
amu	贡
amv	共同努力
amw	黄
amx	共同维护
amy	英文
ana	苠
anb	艺
anc	 
and	巨
ane	 
anf	蔚
ang	巨型
anh	蔬
ani	基层党组织
anj	蒸发量
ank	薜
anl	世界
anm	贳
ann	蕊
ano	 
anp	巨额
anq	蔚然
anr	 
ans	艺术
ant	芯片
anu	芯
anv	世
anw	蓼
anx	世纪
any	忒
aoa	蔗
aob	 
aoc	 
aod	营业厅
aoe	蕿
aof	工业城市
aog	薱
aoh	工业战线
aoi	工业污染
aoj	营业时间
aok	营业员
aol	工业界
aom	 
aon	工业局
aoo	敬业精神
aop	营业额
aoq	菧
aor	营业执照
aos	蘑
aot	工业生产
aou	炗
aov	薮
aow	工业化
aox	工业经济
aoy	工业效益
apa	荣获
apb	蒙阴
apc	蒙骗
apd	菪
ape	劳
apf	蒙
apg	莹
aph	菅
api	荥
apj	萤
apk	营
apl	荤
apm	蒙山
apn	茕
apo	荧
app	切实安排
apq	莺
apr	切实抓好
aps	荣
apt	荦
apu	芝
apv	营建
apw	蓉
apx	萦
apy	营房
aqa	芪
aqb	苑
aqc	芶
aqd	蔚然成风
aqe	萏
aqf	菳
aqg	葡
aqh	㔰
aqi	警觉
aqj	荀
aqk	敬
aql	警车
aqm	苟同
aqn	苞
aqo	菊
aqp	警察
aqq	警钟
aqr	葱
aqs	匹配
aqt	获
aqu	芕
aqv	匹
aqw	芡
aqx	基金组织
aqy	芍
ara	区区
arb	葼
arc	葩
ard	菝
are	区县
arf	苩
arg	瓯
arh	㔸
ari	区
arj	芹
ark	匠
arl	荡气回肠
arm	区内
arn	匠心
aro	 
arp	世乒赛
arq	欧
arr	落后的
ars	东拼西凑
art	萆
aru	艾
arv	苛捐杂税
arw	殴
arx	 
ary	薂
asa	艺术节
asb	基本职能
asc	基本观点
asd	基本原则
ase	基本力量
asf	茜
asg	苯
ash	葙
asi	基本法
asj	艼
ask	苛
asl	艺术团
asm	基本内容
asn	基本情况
aso	基本精神
asp	艺术家
asq	基本解决
asr	菥
ass	基本要求
ast	基本条件
asu	㭉
asv	基本建设
asw	菘
asx	基本经验
asy	基本方针
ata	苌
atb	莠
atc	获得通过
atd	医
ate	医用
atf	芊
atg	董
ath	蓰
ati	医学
atj	莉
atk	医嘱
atl	蓖
atm	薇
atn	鞠躬尽瘁
ato	蕃
atp	菲律宾
atq	藜
atr	莪
ats	医术
att	医生
atu	䒘
atv	萎
atw	工程公司
atx	蘩
aty	攻
aua	攻关项目
aub	蒴
auc	劳资双方
aud	营养不良
aue	花前月下
auf	苙
aug	医疗事故
auh	工资卡
aui	共产党员
auj	薏
auk	菩
aul	蕲
aum	蔽
aun	翘首以待
auo	 
aup	莫逆之交
auq	茨
aur	工资制度
aus	薪
aut	蒺
auu	东北部
auv	蒹
auw	蔺
aux	工资级别
auy	共产主义
ava	切莫
avb	艽
avc	巧妇难为无米之炊
avd	菇
ave	茛
avf	荨
avg	切开
avh	 
avi	萧
avj	 
avk	茹
avl	菑
avm	萧山
avn	切忌
avo	切断
avp	切实
avq	切勿
avr	芀
avs	 
avt	切
avu	 
avv	茘
avw	董建华
avx	 
avy	芄
awa	荟萃
awb	苍
awc	蓊
awd	茯
awe	恭贺
awf	蔡
awg	葵
awh	莜
awi	工作小组
awj	芥
awk	葆
awl	巩固
awm	共同
awn	恭
awo	花粉
awp	共祝
awq	共勉
awr	工作报告
aws	茶
awt	荏
awu	共
awv	芬
aww	巫
awx	花
awy	恐
axa	荭
axb	芎
axc	节约能源
axd	药厂
axe	药用
axf	荮
axg	莼
axh	苐
axi	蕴涵
axj	蕴
axk	药品
axl	 
axm	蒳
axn	䒛
axo	药店
axp	世纪之交
axq	药
axr	 
axs	药材
axt	芗
axu	苺
axv	 
axw	节约人力物力
axx	荜
axy	药剂
aya	芦苇
ayb	工商联
ayc	茺
ayd	A
aye	蘐
ayf	䓂
ayg	莫衷一是
ayh	苄
ayi	弋
ayj	蔼
ayk	蓑
ayl	工商界
aym	荒山
ayn	荒
ayo	工商业
ayp	匾额
ayq	鸢
ayr	芳
ays	其主要原因是
ayt	蔟
ayu	蒂
ayv	莨
ayw	萃
ayx	蓄
ayy	荒谬
baa	职工工资
bab	职工队伍
bac	 
bad	出其不意
bae	 
baf	职工教育
bag	陈列
bah	陈旧
bai	陈
baj	隁
bak	聝
bal	 
bam	 
ban	职工收入
bao	陈腐
bap	陕甘宁边区
baq	 
bar	防范措施
bas	陈述
bat	孤芳自赏
bau	 
bav	 
baw	职工代表
bax	 
bay	聀
bba	孕期
bbb	子
bbc	陬
bbd	孜孜不倦
bbe	 
bbf	孕
bbg	孖
bbh	耶
bbi	 
bbj	 
bbk	 
bbl	 
bbm	聉
bbn	阤
bbo	 
bbp	子宫
bbq	耶稣
bbr	子孙后代
bbs	 
bbt	子长
bbu	子弟
bbv	子女
bbw	孩子们
bbx	子弹
bby	孕育
bca	陉
bcb	取出
bcc	聂
bcd	 
bce	取胜
bcf	取款
bcg	 
bch	聚餐
bci	聚
bcj	取暖
bck	孡
bcl	盈
bcm	 
bcn	聚居
bco	焣
bcp	 
bcq	取名
bcr	 
bcs	取样
bct	取得
bcu	职能部门
bcv	娶
bcw	取代
bcx	取缔
bcy	取
bda	隋
bdb	随队
bdc	耾
bdd	随感
bde	随
bdf	呄
bdg	聚在一起
bdh	阫
bdi	承
bdj	陌
bdk	随口
bdl	 
bdm	随同
bdn	 
bdo	 
bdp	随军
bdq	承包
bdr	承担
bds	随机
bdt	陌生
bdu	随着
bdv	随即
bdw	随便
bdx	陇
bdy	承诺
bea	孤胆英雄
beb	阻隔
bec	承受能力
bed	阻碍
bee	阻力
bef	阴雨
beg	阴
beh	阻止
bei	阴沉
bej	阴影
bek	 
bel	 
bem	 
ben	 
beo	 
bep	阻塞
beq	聣
ber	孟加拉
bes	阴极
bet	阞
beu	承受着
bev	隠
bew	承办人
bex	附加费
bey	阴谋
bfa	陵墓
bfb	陈规陋习
bfc	耺
bfd	孺
bfe	陵县
bff	陡坡
bfg	 
bfh	陡
bfi	际
bfj	阱
bfk	聐
bfl	陵园
bfm	陡峭
bfn	隯
bfo	 
bfp	 
bfq	阮
bfr	 
bfs	 
bft	陼
bfu	 
bfv	出卖灵魂
bfw	陵
bfx	 
bfy	出土文物
bga	职责范围
bgb	陆
bgc	 
bgd	卫
bge	耳边
bgf	═
bgg	隔开
bgh	耳
bgi	卫辉
bgj	卫星
bgk	隔
bgl	卫国
bgm	陋
bgn	陋习
bgo	隔断
bgp	陆军
bgq	阢
bgr	隔热
bgs	陕西
bgt	卫生
bgu	陕
bgv	 
bgw	耳朵
bgx	陆续
bgy	隔离
bha	隵
bhb	芔
bhc	陂
bhd	耻辱
bhe	 
bhf	 
bhg	耻
bhh	陟
bhi	 
bhj	 
bhk	屮
bhl	 
bhm	 
bhn	鼐
bho	 
bhp	除此之外
bhq	子虚乌有
bhr	 
bhs	 
bht	 
bhu	 
bhv	 
bhw	㞣
bhx	 
bhy	承上启下
bia	 
bib	函
bic	孤掌难鸣
bid	也没有
bie	陗
bif	函索
big	丞
bih	耳濡目染
bii	氶
bij	隙
bik	除尘器
bil	 
bim	㞼
bin	 
bio	 
bip	逊
biq	逊色
bir	函授
bis	 
bit	隲
biu	尕
biv	孙女
biw	函件
bix	 
biy	孙
bja	防暴警察
bjb	,
bjc	卫星通信
bjd	阳历
bje	 
bjf	陧
bjg	阳
bjh	刵
bji	阳光
bjj	 
bjk	(
bjl	 
bjm	隅
bjn	阳性
bjo	 
bjp	除暴安良
bjq	阴暗角落
bjr	阳泉
bjs	 
bjt	 
bju	阳新
bjv	也是如此
bjw	阳信
bjx	隰
bjy	及时调整
bka	职工
bkb	随叫随到
bkc	亟
bkd	陨石
bke	䧎
bkf	叾
bkg	职责
bkh	聩
bki	 
bkj	出口量
bkk	职员
bkl	出口国
bkm	陨
bkn	 
bko	职业
bkp	出口额
bkq	出口贸易
bkr	 
bks	职权
bkt	职务
bku	出口产品
bkv	 
bkw	职
bkx	 
bky	出口商品
bla	阵营
blb	孟子
blc	 
bld	 
ble	勐
blf	孟
blg	䧃
blh	阵
bli	出国深造
blj	 
blk	 
bll	 
blm	 
bln	 
blo	 
blp	阵容
blq	 
blr	阵势
bls	 
blt	 
blu	阵痛
blv	 
blw	阵风
blx	阵线
bly	阵亡
bma	出世
bmb	出院
bmc	出台
bmd	出厂
bme	聘用
bmf	祟
bmg	聘
bmh	出战
bmi	出海
bmj	出师
bmk	出
bml	出国
bmm	出山
bmn	出发
bmo	粜
bmp	出家
bmq	出色
bmr	出手
bms	 
bmt	出版
bmu	出资
bmv	出嫁
bmw	出售
bmx	出线
bmy	孭
bna	 
bnb	孔子
bnc	 
bnd	 
bne	 
bnf	了却
bng	乃至
bnh	了
bni	孔雀
bnj	也是
bnk	隦
bnl	也罢
bnm	 
bnn	孔
bno	聚乙烯
bnp	 
bnq	了解
bnr	随心所欲
bns	也要
bnt	乃
bnu	孞
bnv	也好
bnw	出以公心
bnx	了结
bny	也许
boa	职业工会
bob	出席了
boc	 
bod	出席大会
boe	 
bof	防火墙
bog	出席开幕式
boh	 
boi	职业学校
boj	 
bok	 
bol	职业辅导
bom	 
bon	 
boo	出席座谈会
bop	出席宴会的
boq	隣
bor	职业技术教育
bos	 
bot	 
bou	职业道德
bov	䧜
bow	出席会议
box	 
boy	耿
bpa	院落
bpb	院子
bpc	 
bpd	䢊
bpe	辸
bpf	院
bpg	取之于
bph	 
bpi	辽宁省
bpj	陀螺
bpk	辽
bpl	 
bpm	 
bpn	 
bpo	 
bpp	辽宁
bpq	耽
bpr	院所
bps	聍
bpt	院长
bpu	辽阔
bpv	 
bpw	聚宝盆
bpx	陀
bpy	耽误
bqa	隐藏
bqb	了解了
bqc	阿尔巴尼亚
bqd	聸
bqe	陷
bqf	聊城
bqg	了解到
bqh	隐瞒
bqi	聎
bqj	 
bqk	隐患
bql	 
bqm	 
bqn	孢
bqo	陱
bqp	除夕之夜
bqq	陊
bqr	陶
bqs	陶醉
bqt	聊
bqu	陶瓷
bqv	隐
bqw	隐含
bqx	承包经营
bqy	承包商
bra	 
brb	 
brc	孤
brd	函授大学
bre	 
brf	孤老
brg	隍
brh	 
bri	函授学院
brj	 
brk	 
brl	 
brm	䎺
brn	限制性
bro	 
brp	孤军
brq	隗
brr	附近的
brs	防护林
brt	陴
bru	孤立
brv	 
brw	阿拉伯
brx	 
bry	承担义务
bsa	职权范围
bsb	 
bsc	 
bsd	 
bse	 
bsf	陻
bsg	䧈
bsh	耵
bsi	陕西省
bsj	阿里
bsk	阿
bsl	▁
bsm	 
bsn	 
bso	随机应变
bsp	 
bsq	 
bsr	 
bss	 
bst	阿根廷
bsu	朶
bsv	阿姨
bsw	阿爸
bsx	 
bsy	 
bta	降
btb	取得了
btc	防御能力
btd	聒
bte	 
btf	陲
btg	隆
bth	阼
bti	降水
btj	联系电话
btk	出入口
btl	出租车
btm	出自内心
btn	出版发行
bto	出版业
btp	出版社
btq	亟待解决
btr	取得的
bts	随处可见
btt	隆重
btu	卫生部
btv	联系群众
btw	降低
btx	降级
bty	孜
bua	联营
bub	联产承包责任制
buc	联欢
bud	联
bue	隧
buf	联运
bug	取决于
buh	耳闻目睹
bui	隧洞
buj	障
buk	聪
bul	 
bum	联网
bun	随意性
buo	联席
bup	联赛
buq	联名
bur	联接
bus	联想
but	联系
buu	隧道
buv	联姻
buw	隘
bux	联络
buy	联谊
bva	限期
bvb	 
bvc	 
bvd	 
bve	限
bvf	隐姓埋名
bvg	限于
bvh	孻
bvi	䎼
bvj	限量
bvk	䧂
bvl	 
bvm	 
bvn	 
bvo	限度
bvp	限额
bvq	 
bvr	限制
bvs	 
bvt	 
bvu	限产
bvv	 
bvw	限价
bvx	 
bvy	 
bwa	联合攻关
bwb	除了
bwc	聡
bwd	降低成本
bwe	附加
bwf	附
bwg	除
bwh	除非
bwi	联合举办
bwj	阶
bwk	队员
bwl	联合国
bwm	险峻
bwn	子公司
bwo	附庸
bwp	除害
bwq	除外
bwr	附近
bws	阶梯
bwt	队长
bwu	出人意料
bwv	附录
bww	阶段
bwx	阶级
bwy	队
bxa	阶级基础
bxb	 
bxc	阶级矛盾
bxd	阶级友爱
bxe	聈
bxf	聪颖过人
bxg	陛下
bxh	 
bxi	乸
bxj	 
bxk	联络员
bxl	 
bxm	 
bxn	阶级性
bxo	 
bxp	阶级社会
bxq	 
bxr	 
bxs	出线权
bxt	联络处
bxu	联络部
bxv	 
bxw	 
bxx	陛
bxy	 
bya	及其
byb	孩子
byc	耳熟能详
byd	出言不逊
bye	䧇
byf	防震
byg	防毒
byh	防止
byi	及
byj	及时
byk	聤
byl	 
bym	 
byn	孩
byo	防火
byp	防守
byq	承认错误
byr	防护
bys	及格
byt	防
byu	防病
byv	 
byw	联谊会
byx	防线
byy	阴谋诡计
caa	巴勒斯坦
cab	 
cac	 
cad	颈
cae	劲
caf	 
cag	艰苦环境
cah	艰苦卓绝
cai	观花赏景
caj	弁
cak	 
cal	 
cam	戏曲
can	戏剧
cao	戏迷
cap	迳
caq	 
car	艰巨的
cas	颈椎
cat	劲敌
cau	劲头
cav	艰苦努力
caw	艰苦创业
cax	 
cay	戏
cba	双职工
cbb	 
cbc	 
cbd	 
cbe	 
cbf	 
cbg	欢聚一堂
cbh	邓
cbi	 
cbj	牟取暴利
cbk	 
cbl	 
cbm	 
cbn	 
cbo	 
cbp	 
cbq	 
cbr	 
cbs	 
cbt	牟取私利
cbu	 
cbv	 
cbw	马耳他
cbx	 
cby	预防为主
cca	 
ccb	参观了
ccc	又
ccd	又有
cce	双边
ccf	双城
ccg	又一
cch	马马虎虎
cci	双流
ccj	又是
cck	 
ccl	艰难困苦
ccm	艰难曲折
ccn	双层
cco	驻马店
ccp	斚
ccq	对台贸易
ccr	双手
ccs	又要
cct	双向
ccu	㕕
ccv	又如
ccw	桑拿
ccx	 
ccy	双
cda	 
cdb	参院
cdc	参观
cdd	叁
cde	参
cdf	参考
cdg	参与
cdh	参战
cdi	参演
cdj	参照
cdk	 
cdl	畚
cdm	参见
cdn	参展
cdo	参数
cdp	参赛
cdq	 
cdr	参拜
cds	 
cdt	参赞
cdu	参阅
cdv	 
cdw	马不停蹄
cdx	 
cdy	参谋
cea	参加革命
ceb	参加了
cec	 
ced	能否
cee	能力
cef	䏍
ceg	勇于
ceh	通
cei	能源
cej	能量
cek	通路
cel	通车
cem	通则
cen	勇敢
ceo	 
cep	通宵
ceq	能够
cer	通报
ces	 
cet	劝
ceu	通道
cev	 
cew	通信
cex	能
cey	通讯
cfa	对攻
cfb	通过了
cfc	对垒
cfd	对面
cfe	 
cff	圣
cfg	对于
cfh	对此
cfi	对流
cfj	对照
cfk	驱动器
cfl	 
cfm	对内
cfn	怼
cfo	对应
cfp	对视
cfq	对象
cfr	对手
cfs	对歌
cft	对策
cfu	对立
cfv	 
cfw	对付
cfx	对比
cfy	对
cga	驱
cgb	骤
cgc	骚
cgd	马
cge	驵
cgf	驱动
cgg	骊
cgh	马上
cgi	验光
cgj	骒
cgk	驶
cgl	骡
cgm	骋
cgn	骣
cgo	 
cgp	驼
cgq	驹
cgr	驳
cgs	骠
cgt	骄
cgu	骥
cgv	骎
cgw	验
cgx	 
cgy	骗
cha	 
chb	 
chc	能上能下
chd	 
che	难上加难
chf	 
chg	 
chh	 
chi	 
chj	 
chk	 
chl	 
chm	 
chn	 
cho	 
chp	 
chq	覌
chr	双目失明
chs	 
cht	 
chu	 
chv	 
chw	 
chx	 
chy	 
cia	能源工业
cib	 
cic	 
cid	 
cie	 
cif	台湾地区
cig	邓小平
cih	 
cii	台湾当局
cij	台湾是中国的一部分
cik	 
cil	 
cim	台湾同胞
cin	对流层
cio	 
cip	 
ciq	能源危机
cir	通常的
cis	观赏植物
cit	 
ciu	厼
civ	能源建设
ciw	能源供应
cix	 
ciy	 
cja	 
cjb	 
cjc	 
cjd	 
cje	 
cjf	巴里坤
cjg	 
cjh	 
cji	 
cjj	 
cjk	 
cjl	 
cjm	 
cjn	 
cjo	 
cjp	参照实行
cjq	 
cjr	 
cjs	对照检查
cjt	参照物
cju	 
cjv	 
cjw	 
cjx	 
cjy	 
cka	 
ckb	邰
ckc	 
ckd	 
cke	台胞
ckf	台
ckg	台下
ckh	台上
cki	台湾
ckj	台盟
ckk	台中
ckl	 
ckm	台山
ckn	怠
cko	炱
ckp	迨
ckq	台独
ckr	 
cks	枲
ckt	台币
cku	台北
ckv	 
ckw	台风
ckx	巼
cky	台商
cla	 
clb	 
clc	 
cld	 
cle	 
clf	 
clg	 
clh	驳回上诉
cli	 
clj	 
clk	 
cll	 
clm	双鸭山
cln	 
clo	 
clp	 
clq	 
clr	双轨制
cls	 
clt	 
clu	圅
clv	 
clw	 
clx	 
cly	 
cma	 
cmb	 
cmc	 
cmd	观感
cme	 
cmf	 
cmg	 
cmh	观点
cmi	观测
cmj	岊
cmk	 
cml	 
cmm	 
cmn	预见性
cmo	观摩
cmp	观察
cmq	观
cmr	观看
cms	 
cmt	 
cmu	貟
cmv	 
cmw	观念
cmx	 
cmy	观望
cna	预期
cnb	预防
cnc	巴马
cnd	预感
cne	 
cnf	预示
cng	难以理解
cnh	预
cni	预测
cnj	 
cnk	巴中
cnl	柔软
cnm	预见
cnn	予以
cno	预料
cnp	预定
cnq	预留
cnr	矛盾
cns	巴西
cnt	预算
cnu	柔道
cnv	难以忍受
cnw	预付
cnx	预约
cny	厶
coa	馵
cob	馺
coc	馻
cod	駀
coe	騪
cof	观摩教学
cog	馷
coh	駊
coi	观摩演出
coj	馹
cok	馽
col	駰
com	駉
con	駃
coo	騼
cop	遤
coq	馰
cor	馸
cos	騋
cot	馲
cou	駾
cov	駋
cow	观摩会
cox	 
coy	馼
cpa	 
cpb	 
cpc	观礼台
cpd	通宵达旦
cpe	观察力
cpf	参赛者
cpg	观察到
cph	 
cpi	 
cpj	 
cpk	观察员
cpl	 
cpm	 
cpn	 
cpo	 
cpp	观察家
cpq	 
cpr	参审制度
cps	 
cpt	参军入伍
cpu	观察站
cpv	 
cpw	 
cpx	 
cpy	 
cqa	驰名世界
cqb	允
cqc	难解难分
cqd	对外友协
cqe	欢腾
cqf	欢喜
cqg	对外开放
cqh	 
cqi	欢迎光临
cqj	 
cqk	欢呼
cql	 
cqm	 
cqn	鸡蛋
cqo	欢庆
cqp	欢迎宴会
cqq	欢迎
cqr	欢欣
cqs	鸡西
cqt	欢乐
cqu	对外关系
cqv	 
cqw	欢
cqx	对外经济
cqy	鸡
cra	 
crb	观看了
crc	 
crd	 
cre	矛盾加剧
crf	欢欣鼓舞
crg	 
crh	 
cri	矛盾激化
crj	 
crk	 
crl	 
crm	 
crn	对抗性
cro	 
crp	对抗赛
crq	 
crr	通报批评
crs	马拉松
crt	勇挑重担
cru	 
crv	 
crw	 
crx	 
cry	 
csa	 
csb	 
csc	 
csd	巴林右旗
cse	 
csf	 
csg	 
csh	 
csi	 
csj	 
csk	 
csl	 
csm	 
csn	 
cso	 
csp	 
csq	 
csr	 
css	通栏标题
cst	欢歌笑语
csu	能歌善舞
csv	 
csw	 
csx	 
csy	勇攀高峰
cta	预算草案
ctb	牟取
ctc	 
ctd	矣
cte	 
ctf	对得起
ctg	牟
cth	 
cti	预备党员
ctj	 
ctk	 
ctl	双重国籍
ctm	预算内
ctn	通知书
cto	难得糊涂
ctp	预选赛
ctq	预算外资金
ctr	难得的
cts	 
ctt	预备役
ctu	通知单
ctv	对答如流
ctw	对我们来说
ctx	预算编制
cty	通行证
cua	对冲基金
cub	 
cuc	 
cud	参差不齐
cue	 
cuf	 
cug	对症下药
cuh	 
cui	巴彦淖尔盟
cuj	 
cuk	 
cul	 
cum	 
cun	 
cuo	 
cup	 
cuq	 
cur	 
cus	 
cut	 
cuu	 
cuv	 
cuw	欢送仪式
cux	对立统一
cuy	巴音郭楞
cva	艰苦
cvb	艰险
cvc	艰难
cvd	 
cve	艰
cvf	 
cvg	 
cvh	 
cvi	 
cvj	 
cvk	 
cvl	 
cvm	 
cvn	 
cvo	 
cvp	 
cvq	 
cvr	 
cvs	 
cvt	 
cvu	艰辛
cvv	 
cvw	 
cvx	 
cvy	 
cwa	通信工程
cwb	通信卫星
cwc	巴拿马
cwd	驻华大使
cwe	通货膨胀
cwf	难过
cwg	难于
cwh	难点
cwi	难当
cwj	难题
cwk	难听
cwl	 
cwm	通信网
cwn	难以
cwo	难度
cwp	通信安全
cwq	难免
cwr	难看
cws	 
cwt	逡
cwu	难道
cwv	难忍
cww	驻华使馆
cwx	通信线路
cwy	难
cxa	 
cxb	 
cxc	又红又专
cxd	 
cxe	 
cxf	 
cxg	 
cxh	 
cxi	 
cxj	 
cxk	 
cxl	 
cxm	 
cxn	 
cxo	对比度
cxp	 
cxq	 
cxr	 
cxs	 
cxt	 
cxu	 
cxv	 
cxw	通缉令
cxx	 
cxy	 
cya	圣诞节
cyb	参议院
cyc	能文能武
cyd	观望态度
cye	 
cyf	通讯地址
cyg	双方表示
cyh	 
cyi	叉
cyj	蚤
cyk	通讯员
cyl	叉车
cym	通讯网络
cyn	圣诞快乐
cyo	 
cyp	通讯社
cyq	 
cyr	难言的苦衷
cys	对讲机
cyt	参谋长
cyu	驻京部队
cyv	通讯录
cyw	能说会道
cyx	通话费
cyy	双方认为
daa	不甘落后
dab	 
dac	有苦难言
dad	厮
dae	左边
daf	左
dag	矼
dah	砑
dai	礴
daj	㚏
dak	厪
dal	在世界上
dam	砸
dan	碟
dao	大工业
dap	礞
daq	布莱尔
dar	砹
das	尤其要
dat	硗
dau	百花奖
dav	砌
daw	礤
dax	成功经验
day	䂝
dba	 
dbb	顾及
dbc	太阳能
dbd	顾
dbe	大陆架
dbf	耷
dbg	矷
dbh	䂙
dbi	太阳光
dbj	㚎
dbk	 
dbl	 
dbm	础
dbn	胡子眉毛一把抓
dbo	破除迷信
dbp	顾客
dbq	不了解
dbr	有限的
dbs	故障检测
dbt	太阳系
dbu	顾问
dbv	厄
dbw	有限公司
dbx	原子弹
dby	不承认
dca	硁
dcb	夿
dcc	磉
dcd	碜
dce	鬃
dcf	友协
dcg	码
dch	肆虐
dci	不能满足
dcj	 
dck	唘
dcl	大观园
dcm	不能同意
dcn	雄性
dco	雄鹰
dcp	不能实现
dcq	大熊猫
dcr	不难看出
dcs	不难想象
dct	不对称
dcu	友
dcv	肆
dcw	雄
dcx	 
dcy	友谊
dda	大臣
ddb	大陆
ddc	套
ddd	磊
dde	大力
ddf	大地
ddg	碱
ddh	厦
ddi	大学
ddj	大量
ddk	大中
ddl	大连
ddm	硕
ddn	大局
ddo	大庆
ddp	大家
ddq	大多
ddr	存在的
dds	大楼
ddt	大面积
ddu	㚐
ddv	大姐
ddw	大会
ddx	大约
ddy	厌
dea	有功
deb	郁
dec	大受欢迎
ded	有感
dee	历
def	有
deg	胡
deh	有些
dei	耐用消费品
dej	有时
dek	历史
del	克服困难
dem	胡同
den	大力发展
deo	有数
dep	有害
deq	鹕
der	夯
des	有机
det	劯
deu	有关
dev	有如
dew	有偿
dex	历经
dey	有效
dfa	奔
dfb	大专院校
dfc	磕
dfd	圧
dfe	辱
dff	奎
dfg	三十一
dfh	矸
dfi	奈
dfj	夲
dfk	厈
dfl	夺回
dfm	不规则
dfn	夸
dfo	奉献精神
dfp	夺冠
dfq	达斡尔
dfr	不动摇
dfs	大规模
dft	奢
dfu	夺
dfv	三十九
dfw	硅谷
dfx	压缩
dfy	压
dga	研
dgb	砘
