U+F900	豈	mgku
U+F970	殺	rsyc
U+F971	辰	dfei
U+F972	沈	ipqn
U+F973	拾	rwgk
U+F974	若	adkf
U+F975	掠	ryki
U+F976	略	ltkg
U+F977	亮	ykpw
U+F978	兩	gmhy
U+F979	凉	uyki
U+F97A	梁	ivws
U+F97B	糧	ojgf
U+F97C	良	yvei
U+F97D	諒	yyki
U+F97E	量	jgjf
U+F97F	勵	daje
U+F980	呂	ktkf
U+F981	女	vvvv
U+F982	廬	ohal
U+F983	旅	ytey
U+F984	濾	ihan
U+F985	礪	dday
U+F986	閭	uktk
U+F987	驪	cogx
U+F988	麗	gmyx
U+F989	黎	tqti
U+F98A	力	ent
U+F98B	曆	dttj
U+F98C	歷	dtth
U+F98D	轢	lrxs
U+F98E	年	rhfk
U+F98F	憐	noqh
U+F990	戀	yxxn
U+F991	撚	rqdo
U+F992	漣	ilpy
U+F993	煉	ogli
U+F994	璉	glpy
U+F995	秊	ttfj
U+F996	練	xgli
U+F997	聯	bxxg
U+F998	輦	fwfl
U+F999	蓮	alpu
U+F99A	連	lpk
U+F99B	鍊	qgli
U+F99C	列	gqjh
U+F99D	劣	iter
U+F99E	咽	kldy
U+F99F	烈	gqjo
U+F9A0	裂	gqje
U+F9A1	說	ywkq
U+F9A2	廉	ouvo
U+F9A3	念	wynn
U+F9A4	捻	rwyn
U+F9A5	殮	gqww
U+F9A6	簾	touo
U+F9A7	獵	qtvn
U+F9A8	令	wycy
U+F9A9	囹	lwyc
U+F9AA	寧	pnls
U+F9AB	嶺	mwym
U+F9AC	怜	nwyc
U+F9AD	玲	gwyc
U+F9AE	瑩	oopy
U+F9AF	羚	ugwc
U+F9B0	聆	bwyc
U+F9B1	鈴	qwyc
U+F9B2	零	fwyc
U+F9B3	靈	fkkw
U+F9B4	領	wycm
U+F9B5	例	wgqj
U+F9B6	禮	pymu
U+F9B7	醴	sgmu
U+F9B8	隸	sfii
U+F9B9	惡	gfgn
U+F9BA	了	bnh
U+F9BB	僚	wdui
U+F9BC	寮	pdui
U+F9BD	尿	nii
U+F9BE	料	oufh
U+F9BF	樂	rxxs
U+F9C0	燎	odui
U+F9C1	療	udui
U+F9C2	蓼	anwe
U+F9C3	遼	dujp
U+F9C4	龍	uegd
U+F9C5	暈	jplj
U+F9C6	阮	bfqn
U+F9C7	劉	qyvj
U+F9C8	杻	snhf
U+F9C9	柳	sqtb
U+F9CA	流	iyck
U+F9CB	溜	iqyl
U+F9CC	琉	gyck
U+F9CD	留	qyvl
U+F9CE	硫	dyck
U+F9CF	紐	xnhf
U+F9D0	類	odym
U+F9D1	六	ywu
U+F9D2	戮	nwea
U+F9D3	陸	bfwf
U+F9D4	倫	wwga
U+F9D5	崙	mwga
U+F9D6	淪	iwga
U+F9D7	輪	lwga
U+F9D8	律	tvgh
U+F9D9	慄	nssy
U+F9DA	栗	ssu
U+F9DB	率	yxif
U+F9DC	隆	btgg
U+F9DD	利	tjh
U+F9DE	吏	gkri
U+F9DF	履	nttt
U+F9E0	易	jqrr
U+F9E1	李	sbf
U+F9E2	梨	tjsu
U+F9E3	泥	inxn
U+F9E4	理	gjfg
U+F9E5	痢	utjk
U+F9E6	罹	lnwy
U+F9E7	裏	yjfe
U+F9E8	裡	pujf
U+F9E9	里	jfd
U+F9EA	離	yrby
U+F9EB	匿	aadk
U+F9EC	溺	ixuu
U+F9ED	吝	ykf
U+F9EE	燐	ooqh
U+F9EF	璘	goqh
U+F9F0	藺	auwy
U+F9F1	隣	boqh
U+F9F2	鱗	qooh
U+F9F3	麟	onjh
U+F9F4	林	ssy
U+F9F5	淋	issy
U+F9F6	臨	ahnk
U+F9F7	立	uuuu
U+F9F8	笠	tuf
U+F9F9	粒	oug
U+F9FA	狀	nhdy
U+F9FB	炙	qou
U+F9FC	識	yujy
U+F9FD	什	wfh
U+F9FE	茶	awsu
U+F9FF	刺	gmij
U+FA00	切	avt
U+FA01	度	oaci
U+FA02	拓	rdg
U+FA03	糖	oovk
U+FA04	宅	ptab
U+FA05	洞	imgk
U+FA06	暴	jawi
U+FA07	輻	lgkl
U+FA08	行	tgsh
U+FA09	降	btah
U+FA0A	見	hqb
U+FA0B	廓	oykb
U+FA0C	兀	gqv
U+FA0D	嗀	fpgc
U+FA0E	﨎	ywyc
U+FA0F	﨏	fwwk
U+FA10	塚	fpgy
U+FA11	﨑	mukh
U+FA12	晴	jgeg
U+FA13	﨓	sawf
U+FA14	﨔	sigr
U+FA15	凞	utao
U+FA16	猪	qtfj
U+FA17	益	uwlf
U+FA18	礼	finn
U+FA19	神	pyjh
U+FA1A	祥	pyug
U+FA1B	福	pygl
U+FA1C	靖	ugeg
U+FA1D	精	ogeg
U+FA1E	羽	nnyg
U+FA1F	﨟	aejn
U+FA20	蘒	attx
U+FA21	﨡	jtgg
U+FA22	諸	yftj
U+FA23	﨣	fhuf
U+FA24	﨤	bypi
U+FA25	逸	qkqp
U+FA26	都	ftjb
U+FA27	﨧	qftb
U+FA28	﨨	qfuf
U+FA29	﨩	bwvm
U+FA2A	飯	wyrc
U+FA2B	飼	wynk
U+FA2C	館	wypn
U+FA2D	鶴	pwyo
U+FA2E	郞	yveb
U+FA2F	隷	ffii
U+FA30	侮	wtxy
U+FA31	僧	wulj
U+FA32	免	vkqb
U+FA33	勉	qkwe
U+FA34	勤	akge
U+FA35	卑	rtfj
U+FA36	喝	kjqn
U+FA37	嘆	kakw
U+FA38	器	kkdk
U+FA39	塀	fnua
U+FA3A	墨	lfof
U+FA3B	層	nulj
U+FA3C	屮	bhk
U+FA3D	悔	ntxy
U+FA3E	慨	nvcq
U+FA3F	憎	nulj
U+FA40	懲	tmgn
U+FA41	敏	txty
U+FA42	既	vcaq
U+FA43	暑	jftj
U+FA44	梅	stxy
U+FA45	海	itxy
U+FA46	渚	iftj
U+FA47	漢	iakw
U+FA48	煮	ftjo
U+FA49	爫	etyt
U+FA4A	琢	ggey
U+FA4B	碑	drtf
U+FA4C	社	pyfg
U+FA4D	祉	pyhg
U+FA4E	祈	pyrh
U+FA4F	祐	pydk
U+FA50	祖	pyeg
U+FA51	祝	pykq
U+FA52	禍	pymk
U+FA53	禎	pyhm
U+FA54	穀	fpgc
U+FA55	突	pwdy
U+FA56	節	tvcb
U+FA57	練	xgli
U+FA58	縉	xgcj
U+FA59	繁	txti
U+FA5A	署	lftj
U+FA5B	者	ftjf
U+FA5C	臭	thdy
U+FA5D	艹	hghg
U+FA5E	艹	aggh
U+FA5F	著	aftj
U+FA60	褐	pujn
U+FA61	視	pyhq
U+FA62	謁	yjqn
U+FA63	謹	yakg
U+FA64	賓	pghm
U+FA65	贈	mulj
U+FA66	辶	pyny
U+FA67	逸	qkqp
U+FA68	難	akfy
U+FA69	響	xtyj
U+FA6A	頻	hhdm
U+FA6B	恵	gmyn
U+FA6C	𤋮	ahno
U+FA6D	舘	wfkn
U+FA6E
U+FA6F
U+FA70	並	ugog
U+FA71	况	ukqn
U+FA72	全	wgf
U+FA73	侀	wgaj
U+FA74	充	ycqb
U+FA75	冀	uxlw
U+FA76	勇	cehe
U+FA77	勺	qyi
U+FA78	喝	kjqn
U+FA79	啕	kqrm
U+FA7A	喙	kxge
U+FA7B	嗢	kjlg
U+FA7C	塚	fpgy
U+FA7D	墳	ffam
U+FA7E	奄	djnb
U+FA7F	奔	dfaj
U+FA80	婢	vrtf
U+FA81	嬨	vuxn
U+FA82	廒	ogqt
U+FA83	廙	olaw
U+FA84	彩	eset
U+FA85	徭	term
U+FA86	惘	nmun
U+FA87	慎	nfhw
U+FA88	愈	wgen
U+FA89	憎	nulj
U+FA8A	慠	ngqt
U+FA8B	懲	tmgn
U+FA8C	戴	flay
U+FA8D	揄	rwgj
U+FA8E	搜	rehc
U+FA8F	摒	rnua
U+FA90	敖	gqty
U+FA91	晴	jgeg
U+FA92	朗	yvce
U+FA93	望	yneg
U+FA94	杖	sdyy
U+FA95	歹	gqi
U+FA96	殺	rsyc
U+FA97	流	iyck
U+FA98	滛	ierm
U+FA99	滋	iuxx
U+FA9A	漢	iakw
U+FA9B	瀞	igeh
U+FA9C	煮	ftjo
U+FA9D	瞧	hwyo
U+FA9E	爵	elvf
U+FA9F	犯	qtbn
U+FAA0	猪	qtfj
U+FAA1	瑱	gfhw
U+FAA2	甆	uxxy
U+FAA3	画	glbj
U+FAA4	瘝	ulii
U+FAA5	瘟	ujld
U+FAA6	益	uwlf
U+FAA7	盛	dnxl
U+FAA8	直	fhf
U+FAA9	睊	hkeg
U+FAAA	着	ughf
U+FAAB	磌	dfhw
U+FAAC	窱	pwws
U+FAAD	節	tvcb
U+FAAE	类	odu
U+FAAF	絛	whti
U+FAB0	練	xgli
U+FAB1	缾	rmua
U+FAB2	者	ftjf
U+FAB3	荒	aynk
U+FAB4	華	agaf
U+FAB5	蝹	jjlg
U+FAB6	襁	puxj
U+FAB7	覆	sttt
U+FAB8	視	pyhq
U+FAB9	調	ymfk
U+FABA	諸	yftj
U+FABB	請	ygeg
U+FABC	謁	yjqn
U+FABD	諾	yadk
U+FABE	諭	ywgj
U+FABF	謹	yakg
U+FAC0	變	yxxt
U+FAC1	贈	mulj
U+FAC2	輸	lwgj
U+FAC3	遲	nitp
U+FAC4	醙	sgec
U+FAC5	鉶	qgaj
U+FAC6	陼	bftj
U+FAC7	難	akfy
U+FAC8	靖	ugeg
U+FAC9	韛	nkah
U+FACA	響	xtyj
U+FACB	頋	dbdm
U+FACC	頻	hhdm
U+FACD	鬒	dcew
U+FACE	龜	qxu
U+FACF	𢡊	ngdn
U+FAD0	𢡄	ntdj
U+FAD1	𣏕	sfqn
U+FAD2	㮝	swwb
U+FAD3	䀘	hgah
U+FAD4	䀹	hdty
U+FAD5	𥉉	hwhs
U+FAD6	𥳐	tuga
U+FAD7	𧻓	fhua
U+FAD8	齃	thln
U+FAD9	龎	dued
U+FADA
U+FADB
U+FADC
U+FADD
U+FADE
U+FADF
U+FAE0
U+FAE1
U+FAE2
U+FAE3
U+FAE4
U+FAE5
U+FAE6
U+FAE7
U+FAE8
U+FAE9
U+FAEA
U+FAEB
U+FAEC
U+FAED
U+FAEE
U+FAEF
U+FAF0
U+FAF1
U+FAF2
U+FAF3
U+FAF4
U+FAF5
U+FAF6
U+FAF7
U+FAF8
U+FAF9
U+FAFA
U+FAFB
U+FAFC
U+FAFD
U+FAFE
U+FAFF
